Name,Surname,Student Numbers,Class Test 1 Marks
Michael,Smith,MICSMI000,65
Christopher,Johnson,CHRJOH001,56
Jessica,Williams,JESWIL002,32
Matthew,Jones,MATJON003,66
Ashley,Brown,ASHBRO004,91
Jennifer,Davis,JENDAV005,19
Joshua,Miller,JOSMIL006,61
Amanda,Wilson,AMAWIL007,66
Daniel,Moore,DANMOO008,42
David,Taylor,DAVTAY009,66
James,Anderson,JAMAND010,89
Robert,Thomas,ROBTHO011,96
John,Jackson,JOHJAC012,58
Joseph,White,JOSWHI013,42
Andrew,Harris,ANDHAR014,52
Ryan,Martin,RYAMAR015,19
Brandon,Thompson,BRATHO016,34
Jason,Garcia,JASGAR017,99
Justin,Martinez,JUSMAR018,85
Sarah,Robinson,SARROB019,27
William,Clark,WILCLA020,82
Jonathan,Rodriguez,JONROD021,86
Stephanie,Lewis,STELEW022,34
Brian,Lee,BRILEE023,81
Nicole,Walker,NICWAL024,64
Nicholas,Hall,NICHAL025,25
Anthony,Allen,ANTALL026,81
Heather,Young,HEAYOU027,52
Eric,Hernandez,ERIHER028,71
Elizabeth,King,ELIKIN029,82
Adam,Wright,ADAWRI030,99
Megan,Lopez,MEGLOP031,60
Melissa,Hill,MELHIL032,90
Kevin,Scott,KEVSCO033,80
Steven,Green,STEGRE034,59
Thomas,Adams,THOADA035,29
Timothy,Baker,TIMBAK036,60
Christina,Gonzalez,CHRGON037,89
Kyle,Nelson,KYLNEL038,42
Rachel,Carter,RACCAR039,34
Laura,Mitchell,LAUMIT040,39
Lauren,Perez,LAUPER041,48
Amber,Roberts,AMBROB042,80
Brittany,Turner,BRITUR043,70
Danielle,Phillips,DANPHI044,94
Richard,Campbell,RICCAM045,82
Kimberly,Parker,KIMPAR046,77
Jeffrey,Evans,JEFEVA047,25
Amy,Edwards,AMYEDW048,59
Crystal,Collins,CRYCOL049,53
Michelle,Stewart,MICSTE050,22
Tiffany,Sanchez,TIFSAN051,95
Jeremy,Morris,JERMOR052,74
Benjamin,Rogers,BENROG053,67
Mark,Reed,MARREE054,63
Emily,Cook,EMICOO055,30
Aaron,Morgan,AARMOR056,71
Charles,Bell,CHABEL057,20
Rebecca,Murphy,REBMUR058,91
Jacob,Bailey,JACBAI059,88
Stephen,Rivera,STERIV060,69
Patrick,Cooper,PATCOO061,80
Sean,Richardson,SEARIC062,74
Erin,Cox,ERICOX063,50
Zachary,Howard,ZACHOW064,84
Jamie,Ward,JAMWAR065,73
Kelly,Torres,KELTOR066,41
Samantha,Peterson,SAMPET067,44
Nathan,Gray,NATGRA068,35
Sara,Ramirez,SARRAM069,81
Dustin,James,DUSJAM070,41
Paul,Watson,PAUWAT071,93
Angela,Brooks,ANGBRO072,53
Tyler,Kelly,TYLKEL073,75
Scott,Sanders,SCOSAN074,80
Katherine,Price,KATPRI075,50
Andrea,Bennett,ANDBEN076,61
Gregory,Wood,GREWOO077,70
Erica,Barnes,ERIBAR078,53
Mary,Ross,MARROS079,53
Travis,Henderson,TRAHEN080,33
Lisa,Coleman,LISCOL081,93
Kenneth,Jenkins,KENJEN082,36
Bryan,Perry,BRYPER083,41
Lindsey,Powell,LINPOW084,19
Kristen,Long,KRILON085,63
Jose,Patterson,JOSPAT086,23
Alexander,Hughes,ALEHUG087,32
Jesse,Flores,JESFLO088,47
Katie,Washington,KATWAS089,84
Lindsay,Butler,LINBUT090,72
Shannon,Simmons,SHASIM091,49
Vanessa,Foster,VANFOS092,58
Courtney,Gonzales,COUGON093,33
Christine,Bryant,CHRBRY094,45
Alicia,Alexander,ALIALE095,15
Cody,Russell,CODRUS096,16
Allison,Griffin,ALLGRI097,55
Bradley,Diaz,BRADIA098,50
Samuel,Hayes,SAMHAY099,79
Shawn,Myers,SHAMYE100,45
April,Ford,APRFOR101,27
Derek,Hamilton,DERHAM102,17
Kathryn,Graham,KATGRA103,85
Kristin,Sullivan,KRISUL104,85
Chad,Wallace,CHAWAL105,94
Jenna,Woods,JENWOO106,39
Tara,Cole,TARCOL107,53
Maria,West,MARWES108,79
Krystal,Jordan,KRYJOR109,21
Jared,Owens,JAROWE110,50
Anna,Reynolds,ANNREY111,39
Edward,Fisher,EDWFIS112,28
Julie,Ellis,JULELL113,15
Peter,Harrison,PETHAR114,65
Holly,Gibson,HOLGIB115,74
Marcus,Mcdonald,MARMCD116,19
Kristina,Cruz,KRICRU117,29
Natalie,Marshall,NATMAR118,73
Jordan,Ortiz,JORORT119,81
Victoria,Gomez,VICGOM120,31
Jacqueline,Murray,JACMUR121,67
Corey,Freeman,CORFRE122,24
Keith,Wells,KEIWEL123,45
Monica,Webb,MONWEB124,54
Juan,Simpson,JUASIM125,61
Donald,Stevens,DONSTE126,80
Cassandra,Tucker,CASTUC127,65
Meghan,Porter,MEGPOR128,35
Joel,Hunter,JOEHUN129,57
Shane,Hicks,SHAHIC130,15
Phillip,Crawford,PHICRA131,69
Patricia,Henry,PATHEN132,70
Brett,Boyd,BREBOY133,23
Ronald,Mason,RONMAS134,33
Catherine,Morales,CATMOR135,92
George,Kennedy,GEOKEN136,88
Antonio,Warren,ANTWAR137,51
Cynthia,Dixon,CYNDIX138,62
Stacy,Ramos,STARAM139,80
Kathleen,Reyes,KATREY140,29
Raymond,Burns,RAYBUR141,80
Carlos,Gordon,CARGOR142,72
Brandi,Shaw,BRASHA143,58
Douglas,Holmes,DOUHOL144,40
Nathaniel,Rice,NATRIC145,32
Ian,Robertson,IANROB146,31
